L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,1,0.0,8,8,1,1.0,6.907755278982138e-29,0.0,1.938738214617179,1
6,20,0.1,1.0,1,0.5,8,8,1,1.0,1.4290124310786816e-06,0.0,1.8733806651808609,1
6,20,0.1,1.0,1,1.0,8,8,1,1.0,1.7223777547492403e-05,0.0,1.628164500340192,1
6,20,0.1,1.0,1,1.5,8,8,1,1.0,5.5667241434758586e-05,0.0,1.4659796918662191,1
6,20,0.1,1.0,1,2.0,8,8,1,1.0,7.095463072113505e-05,0.0,1.5847276606938188,1
6,20,0.1,1.0,2,0.0,8,8,1,1.0,6.907755278982138e-29,0.0,2.0300291162811934,1
6,20,0.1,1.0,2,0.5,8,8,1,1.0,0.00015956731523872187,0.0,1.9145410671966414,1
6,20,0.1,1.0,2,1.0,8,8,1,1.0,0.0020365886279418858,0.0,1.6710906310659674,1
6,20,0.1,1.0,2,1.5,8,8,1,1.0,0.008741519068362262,0.0,1.5500051047408603,1
6,20,0.1,1.0,2,2.0,8,8,1,1.0,0.022365076819603286,0.0,1.4565941139276828,1
6,20,0.1,1.0,3,0.0,8,8,1,1.0,6.907755278982138e-29,0.0,2.0405896274725936,1
6,20,0.1,1.0,3,0.5,8,8,1,1.0,0.002876512931054734,0.0,2.017890568759126,1
6,20,0.1,1.0,3,1.0,8,8,1,1.0,0.021997903194362237,0.0,1.8286997118783919,1
6,20,0.1,1.0,3,1.5,8,8,1,1.0,0.04632294926139371,0.0,1.7226908399749044,1
6,20,0.1,1.0,3,2.0,8,8,1,1.0,0.06972279562880529,0.0,1.7371238968072864,1
6,20,0.1,1.0,4,0.0,8,8,1,1.0,6.907755278982138e-29,0.0,2.2696704062054947,1
6,20,0.1,1.0,4,0.5,8,8,1,1.0,0.0015479874069084022,0.0,2.207062871387101,1
6,20,0.1,1.0,4,1.0,8,8,1,1.0,0.015814040745437165,0.0,1.9436044899427352,1
6,20,0.1,1.0,4,1.5,8,8,1,1.0,0.058854517630865966,0.0,1.8388795064706296,1
6,20,0.1,1.0,4,2.0,8,8,1,1.0,0.09690462908688963,0.0,1.9351744075442232,1
